bulkdensity	clay	organicsoil	sandfraction	Latitude	Longitude	Depth
1.39	38.6	1.41	34.0	20.55916666666666	97.27415688116486	600
1.33	40.08	2.35	33.47	20.55916666666666	97.27415688116486	600
1.32	35.88	0.98	34.41	20.55916666666666	97.27415688116486	600
1.37	40.2	1.2	35.98	20.55916666666666	97.27415688116486	600
1.36	36.4	3.82	33.48	20.55916666666666	97.27415688116486	600
1.4	39.59	4.02	35.49	20.55916666666666	97.27415688116486	600
