bulkdensity	clay	organicsoil	sandfraction	Latitude	Longitude	Depth
1.32	35.88	3.82	35.98	20.55916666666666	97.27415688116486	600
1.39	40.2	1.2	33.47	20.55916666666666	97.27415688116486	600
1.33	36.4	4.02	35.49	20.55916666666666	97.27415688116486	600
1.4	39.59	0.98	34.0	20.55916666666666	97.27415688116486	600
1.36	38.6	2.35	34.41	20.55916666666666	97.27415688116486	600
1.37	40.08	1.41	33.48	20.55916666666666	97.27415688116486	600
